NOME;CPF;MATRICULA;LIMCRED;BLOQUEADO
ELIANE VASCONCELOS LUZ;85288598193;1486;778;0
HELOISA CARDOSO MENDES;98677312048;1487;683;0
THIAGO ANDRADE AMARAL;81001177487;1488;252;0
JESSICA BRAGA BRAGA;83397457947;1489;930;0
CINTIA LIMA LIMA;25550110806;1490;608;0
BIANCA TEIXEIRA MOREIRA;55666410326;1491;126;0
MARTA PIRES ANDRADE;21390315550;1492;724;0
VIVIANE TEIXEIRA BRAGA;64865542663;1493;516;0
CRISTIANE BASTOS PEREIRA;25081814202;1494;623;0
ANDERSON PEREIRA SOUSA;08529964039;1495;460;0
BEATRIZ PAIVA XAVIER;96884116200;1496;560;0
ROSANGELA LIMA MOTA;83387459793;1497;809;0
FELIPE MARQUES MORAES;14330218208;1498;134;0
RODRIGO DE PAULA BRAGA;02371454303;1499;841;0
JULIANA RODRIGUES AMARAL;12264763256;1500;266;1
BRUNA MARTINS CAVALCANTI;71036048942;1501;294;0
FABIO SOUSA BORGES;19174015400;1502;825;0
MARCELO MONTEIRO NOGUEIRA;71946119962;1503;53;0
BIANCA NOGUEIRA FIGUEIREDO;04580279107;1504;363;0
RENATO PINTO AZEVEDO;56236171408;1505;769;0
TAMIRES VIEIRA SOUSA;04564217690;1506;634;0
PAULO MARQUES NOGUEIRA;25499028230;1507;864;0
BRUNA MORAES SILVA;06798275109;1508;472;0
DANIEL PEREIRA RODRIGUES;39149964046;1509;411;0
BRUNA MENDES CARDOSO;77672900692;1510;280;0
TAMIRES OLIVEIRA CAVALCANTI;31618800647;1511;289;0
BENEDITA CARVALHO ALVES;95748135760;1512;471;0
ALEXANDRE BASTOS SOUSA;72693447011;1513;652;0
VANESSA MELO ANDRADE;51272650367;1514;125;0
DENISE LEITE GUERRA;36837294814;1515;60;0
ELISABETE AMARAL SOUZA;46949218001;1516;405;0
RAFAEL PEREIRA GUERRA;69872405905;1517;857;0
MARTA ALVES GUERRA;68915488296;1518;391;0
MONICA DE PAULA VIEIRA;01286158346;1519;584;0
SOLANGE DANTAS BASTOS;30186822626;1520;740;1
NATALIA ROCHA AMARAL;19907999148;1521;495;0
ALICE DIAS FERNANDES;80171724860;1522;327;0
KARINA SILVA CARVALHO;10984642498;1523;811;0
RENATA LEITE LIMA;68468229504;1524;383;0
MARTA NUNES GUERRA;03847673890;1525;643;0
FERNANDA SOUZA FIGUEIREDO;35300765708;1526;933;0
ALEXANDRE CAVALCANTI FERNANDES;45001528305;1527;890;0
ADRIANO MARTINS PIRES;79185901474;1528;181;0
SILVANA PEREIRA MELO;09623063121;1529;936;0
ROBERTO MACHADO PEREIRA;05913523628;1530;654;0
PATRICIA OLIVEIRA GUERRA;45405748412;1531;929;0
GABRIEL CUNHA PINTO;45330316090;1532;245;0
CAROLINA ROCHA MACHADO;46286121293;1533;586;0
CAMILA RIBEIRO AZEVEDO;75006901772;1534;484;0
RAFAELA CORREIA MELO;19204894954;1535;552;0
MARIANA SOUZA BORGES;10416664113;1536;919;0
PRISCILA BORGES BORGES;12749226155;1537;819;0
VANESSA XAVIER MOTA;83329371595;1538;814;0
FELIPE COSTA CAVALCANTI;09308256750;1539;332;0
ALEXANDRE COSTA RODRIGUES;54684785289;1540;785;1
BIANCA ROCHA SOUZA;24173698429;1541;144;0
FERNANDA AMARAL CARVALHO;61551675595;1542;849;0
TEREZA MOREIRA CARVALHO;68390644410;1543;936;0
BEATRIZ FIGUEIREDO LIMA;71172036330;1544;886;0
PRISCILA ALMEIDA RAMOS;75177628779;1545;590;0
BEATRIZ ANDRADE SOUSA;65968068558;1546;289;0
MATEUS LUZ SANTOS;73561096620;1547;464;0
MARIANA NUNES MARTINS;58288247911;1548;289;0
BIANCA GUERRA CARDOSO;95428469323;1549;650;0
ADRIANO MARQUES FIGUEIREDO;29836292527;1550;774;0
TEREZA BARBOSA LUZ;51890454559;1551;770;0
RAFAEL FREITAS FONSECA;09831311205;1552;214;0
EDUARDO BASTOS PINTO;59484611222;1553;607;0
SERGIO AZEVEDO MACHADO;42651297496;1554;887;0
BEATRIZ LEITE MARQUES;11208591746;1555;915;0
RAFAELA PEREIRA SOUZA;10021743681;1556;443;0
DANIEL CARDOSO FERREIRA;06225942572;1557;463;0
ROSANA MONTEIRO ALVES;86828969073;1558;676;0
ALEXANDRE BRAGA BARBOSA;20878095349;1559;83;0
SOLANGE LEITE LEITE;82321480980;1560;907;1
DEBORA LOPES ALMEIDA;24901815563;1561;798;0
RENATA CARDOSO CARVALHO;27192867373;1562;370;0
IRENE SILVA MOTA;52706192534;1563;895;0
MARCIA MONTEIRO LUZ;78321488706;1564;584;0
MARIA FIGUEIREDO BARBOSA;72201066965;1565;223;0
CAMILA VIEIRA MARQUES;30186676620;1566;560;0
MARCIA BASTOS SOUSA;43291514211;1567;309;0
ROSANA MOREIRA LEITE;69531468427;1568;540;0
HELOISA AZEVEDO FREITAS;66159354221;1569;364;0
SUELI FONSECA ARAUJO;70851903703;1570;64;0
JULIANA NASCIMENTO LIMA;88233655546;1571;280;0
NEUSA DIAS BASTOS;30605705232;1572;129;0
SILVANA RAMOS BORGES;66917203424;1573;67;0
SUELI CORREIA AZEVEDO;83727051272;1574;726;0
HELOISA NASCIMENTO CARVALHO;34595117299;1575;225;0
SOLANGE FREITAS LIMA;09572735098;1576;395;0
SUELI GOMES MOREIRA;89593770828;1577;547;0
THIAGO DUARTE BORGES;39915643357;1578;474;0
LARISSA FREITAS XAVIER;90678338787;1579;399;0
ERIKA NUNES MELO;79002870272;1580;614;1
TEREZA CORREIA CAMPOS;21965248918;1581;338;0
MARCELO MARTINS FIGUEIREDO;95945972169;1582;511;0
RAFAELA ARAUJO DUARTE;62736758480;1583;270;0
MATEUS MONTEIRO FIGUEIREDO;83657170693;1584;849;0
ALICE VIEIRA FONSECA;75017532706;1585;632;0
LUCAS ROCHA MELO;13470971390;1586;547;0
VANESSA FERNANDES LUZ;52976710198;1587;371;0
BENEDITA AZEVEDO PINTO;78801869568;1588;54;0
HELOISA NUNES PINTO;21211402045;1589;920;0
SIMONE SILVA MARQUES;11288279728;1590;544;0
CARLOS NOGUEIRA RAMOS;66960096472;1591;369;0
GISELE RODRIGUES ANDRADE;56803022927;1592;679;0
ANDERSON MARQUES ANDRADE;00444557717;1593;73;0
APARECIDA DANTAS LIMA;20607316900;1594;91;0
LUCAS SOUZA TEIXEIRA;69013688284;1595;94;0
PATRICIA FIGUEIREDO SANTOS;71031460632;1596;214;0
JOSE ALMEIDA MACHADO;81050086619;1597;447;0
MARTA SANTOS BASTOS;75021897691;1598;804;0
JESSICA CAMPOS MOTA;84695679000;1599;252;0
VIVIANE BARBOSA LUZ;93016771640;1600;895;1
LIVIA MELO ANDRADE;34976258769;1601;175;0
THIAGO CORREIA MORAES;52574894308;1602;934;0
RENATO SANTOS CAVALCANTI;02893209254;1603;210;0
BENEDITA MEDEIROS NOGUEIRA;82507441798;1604;720;0
ADRIANO DE PAULA PINTO;05911049546;1605;289;0
TAMIRES CUNHA DUARTE;04268105549;1606;483;0
ALEXANDRE CORREIA MACHADO;05478093106;1607;704;0
SILVANA CAMPOS NASCIMENTO;33244235972;1608;410;0
LETICIA CORREIA VASCONCELOS;21983151300;1609;369;0
ANDERSON COSTA CARVALHO;40789269597;1610;168;0
MARTA MEDEIROS DIAS;36949186207;1611;950;0
MARCELO MARQUES PINTO;43125353963;1612;318;0
FERNANDO SOUSA DUARTE;81073641040;1613;869;0
AMANDA XAVIER FERNANDES;74876329974;1614;524;0
TAMIRES NUNES PINTO;47670839660;1615;272;0
CRISTIANE MOREIRA BORGES;09077645683;1616;767;0
SIMONE LOPES MELO;73349409466;1617;90;0
MARIA CUNHA PEREIRA;00072064102;1618;250;0
DIEGO FERNANDES DE PAULA;72639705385;1619;489;0
JOSE FREITAS PEREIRA;48757342717;1620;475;1
KARINA ALMEIDA PIRES;14370591120;1621;570;0
CRISTIANE MELO DE PAULA;14807287567;1622;867;0
ALEXANDRE BASTOS GUERRA;56351214203;1623;501;0
RODRIGO NUNES SANTOS;28787566656;1624;302;0
ROBERTO SOUSA GUERRA;48191471370;1625;629;0
CINTIA XAVIER FERREIRA;71450267670;1626;616;0
ERIKA AZEVEDO PIRES;73836999048;1627;247;0
TATIANA MARQUES DE PAULA;88268162805;1628;287;0
ANA MOREIRA VIEIRA;86130025955;1629;450;0
MIRIAM ALVES BARBOSA;03719367134;1630;290;0
FABIO BASTOS CAVALCANTI;88933834036;1631;928;0
ELIANE MORAES TEIXEIRA;05183826722;1632;444;0
MARIA NASCIMENTO DANTAS;27132823906;1633;896;0
BENEDITA XAVIER MOTA;11512668680;1634;67;0
CAROLINA RODRIGUES ALVES;21642672815;1635;237;0
ROBERTO ARAUJO OLIVEIRA;43410521364;1636;877;0
RENATA TEIXEIRA MEDEIROS;93566917974;1637;365;0
ANDERSON LUZ DE PAULA;54620182907;1638;538;0
DENISE NOGUEIRA DIAS;86347943506;1639;510;0
TATIANA GOMES NASCIMENTO;37150166806;1640;565;1
VIVIANE GUERRA FIGUEIREDO;40969991134;1641;725;0
BIANCA ALMEIDA NUNES;44844279742;1642;128;0
FERNANDA LUZ FONSECA;31772430269;1643;753;0
CARLOS XAVIER RIBEIRO;44003736060;1644;730;0
TATIANA MONTEIRO CUNHA;26422267355;1645;343;0
CRISTINA RAMOS RIBEIRO;25449321635;1646;789;0
VERA GOMES PINTO;40558018661;1647;230;0
ALICE ROCHA FONSECA;97084239200;1648;512;0
JOSE MACHADO VIEIRA;61661003613;1649;750;0
ISABELA CUNHA NASCIMENTO;95901747607;1650;450;0
PAULO RAMOS;06463800520;;1597;0
LUCIA PAIVA;88099145704;;1558;0
ALINE XAVIER;62422309097;;1802;0
SILVANA VASCONCELOS;71578384869;;1852;0
JULIANA COSTA;16863126010;;1119;0
DEBORA RAMOS;42655915747;;1449;0
LUCAS BARBOSA;04232228217;;1230;0
ANA CAMPOS;41732464472;;1135;0
GABRIEL LUZ;08846038657;;1838;0
CARLOS ARAUJO;18742645620;;1388;0
BRUNA DE PAULA;91322530106;;476;0
DEBORA BASTOS;38867367927;;417;0
TEREZA ANDRADE;54773315008;;486;0
SILVANA MONTEIRO;23145901800;;352;0
LUCAS MOREIRA;87700209812;;202;0
DANIEL MARQUES;42043119389;;462;0
NATALIA MOTA;39517378670;;425;0
CRISTINA MORAES;51128671590;;266;0
TAMIRES GUERRA;12324141906;;387;0
FLAVIA CUNHA;37312492860;;251;0
MATEUS NASCIMENTO;00000000671;;158;0
BEATRIZ AZEVEDO;00000000672;;488;0
CARLA SANTOS;00000000673;;127;0
ISABELA MOTA;00000000674;;296;0
VIVIANE TEIXEIRA;00000000675;;346;0
TEREZA MENDES;00000000676;;225;0
RODRIGO NUNES;00000000677;;108;0
FABIO DUARTE;00000000678;;359;0
SOLANGE ANDRADE;00000000679;;300;0
BENEDITA ROCHA;00000000680;;348;0
FUNCIONARIO681 TESTE;01572103590;;212;0
FUNCIONARIO682 TESTE;81020290722;;250;0
FUNCIONARIO683 TESTE;15700908662;;237;0
FUNCIONARIO684 TESTE;01641848219;;284;0
FUNCIONARIO685 TESTE;89179895786;;227;0
FUNCIONARIO686 TESTE;78114560525;;363;0
FUNCIONARIO687 TESTE;47288853055;;466;0
FUNCIONARIO688 TESTE;66153261248;;330;0
FUNCIONARIO689 TESTE;09157336687;;212;0
FUNCIONARIO690 TESTE;09812562605;;301;0
ALEXANDRE MEDEIROS;03589766930;;104;0
CARLA MACHADO;68090795307;;311;0
RODRIGO PEREIRA;81652549285;;613;0
RAFAELA ALMEIDA;73366546905;;493;0
BEATRIZ SOUSA;72830813723;;284;0
SUELI DANTAS;04720218180;;171;0
ERIKA MORAES;41393904335;;451;0
SANDRA RAMOS;07480277504;;413;0
GISELE ALVES;42732655830;;532;0
SANDRA FERREIRA;69302943739;;455;0
